model,type,accuracy,precision,recall,f1,roc_auc,pr_auc,threshold,predicted_positives,true_positives,false_positives,false_negatives
xgboost,base,0.3145,0.2525,0.9522,0.3992,0.5363,0.2545,0.19,1184,299,885,15
lightgbm,base,0.3275,0.2528,0.9268,0.3973,0.5341,0.2581,0.16,1151,291,860,23
catboost,base,0.3526,0.255,0.8885,0.3963,0.525,0.2722,0.13,1094,279,815,35
random_forest,base,0.2841,0.2476,0.9777,0.3951,0.5269,0.2524,0.24,1240,307,933,7
lightgbm_regressor,base,0.3519,0.2484,0.8439,0.3838,0.5233,0.2458,0.01,1067,265,802,49
xgboost_regressor,base,0.2909,0.2427,0.9268,0.3847,0.5286,0.2684,0.01,1199,291,908,23
catboost_regressor,base,0.2963,0.2446,0.9299,0.3873,0.5475,0.2655,0.01,1194,292,902,22
random_forest_regressor,base,0.31,0.2508,0.949,0.3968,0.5613,0.2703,0.03,1188,298,890,16
svm_regressor,base,0.2681,0.2414,0.9618,0.3859,0.5537,0.2683,0.01,1251,302,949,12
meta_model,ensemble,0.4326,0.2629,0.7611,0.3908,0.5711,0.285,0.24,909,239,670,75
simple_ensemble,ensemble,0.3595,0.2558,0.879,0.3963,0.5716,0.2912,0.17,1079,276,803,38
